,Regions,Crop,Yield (kg/ha),Blue Water (m3/ha),Green Water (m3/ha),GHGs (kg eq CO2/ha),Nitrogen (kg N/ha),Phosphorus (kg P2O5/ha),Potash (kg K2O/ha),Pesticides (kg/ha),Net Profit (US$/ha),Harvested Area (ha),Total Production (kg),Total income (US$)
48, Southwest,soybean,1619.823950595891,24.313858761781937,2980.03094077408,0.7861752637478905,54.664466449514336,47.83702633599846,21.709134418945098,7.488923203717122,226.83256133952807,889391,1440656843.24443,201742838.5623242
49, Southwest,rapeseed,1682.5167768892566,40.50834048551861,1579.3694842739894,0.7920019722166288,127.42881048784706,55.12812405953543,21.334119380898727,6.42357912299055,-109.28581364327587,2408051.9,4051587721.3700504,-263165911.18673638
50, Southwest,groundnut,2311.2175324427394,5.679547315142084,3687.205240200878,0.4170546639831649,93.40340815991298,80.27926680118291,48.7279853830003,9.888530083766167,691.2513455417023,586248.8999999999,1354948736.0552702,405245340.9473428
51, Southwest,cotton,3680.8652016926067,613.3886189124182,4773.030932135003,0.6906598415094223,272.10054505524704,145.62447863093112,66.5703846291923,36.28636409562919,1863.8576616171197,64066.89999999999,235821622.79032,119411582.42105782
52, Southwest,sugbeet,5388.486125069269,3.67946055532718,4442.34941261418,0.19792801353883607,235.65,151.35000000000002,22.05,7.0006084462154226,87.54777764377724,37462.6,201866700.30902,3279767.374757769
53, Southwest,sugcane,71303.9211062932,252.84475546026718,7019.290469131053,1.0241499057611811,472.67653509791614,163.24786497827202,185.20213722302816,25.403536191428223,1743.6870331483417,1294689.4,92316430834.75407,2257533118.7346063
54,Tibet,Wheat,4375.081806584356,1847.136617557562,1159.3843810409364,1.410928632558059,184.1981386070998,94.22848932827337,37.906451445588885,8.964628195759524,28.223521072362413,92543.6,404885820.67582005,2611906.2447122782
55,Tibet,Rice,2081.6376091156953,886.3126027017523,3369.2338102049275,3.679906345031149,180.13139481831638,60.3418327684817,44.16102889346098,21.30535955790426,211.8368732222354,122994.542,256030064.34315997,26054779.200680908
56,Tibet,Maize,3071.9606690137234,167.18762063407164,2728.2476172490346,0.903546024046951,243.27670215338176,72.945286079585,31.083327667181994,8.223172645861299,160.02359687807729,68241.5,209635203.9945,10920250.286355311
57,Tibet,soybean,1524.7554332292407,0.0659199116908016,2741.244872837659,1.0994612848407384,55.949999999999996,51,25.349999999999994,8.518635119815817,229.71324322054687,6884.900000000001,10497788.68224,1581552.7082491433
58,Tibet,rapeseed,1336.139536896302,785.5154682752652,1200.8428848630908,1.4188931609558355,122.99221845290954,74.4643380137873,11.46917893239192,7.0335969872403,83.45602237744643,123983.7,165659523.50069,10347186.441638606
59,Tibet,groundnut,1769.154475413952,0,2665.6669845788133,0.020445797608230377,118.38944804985078,90.44682317527443,68.89731518045932,15.850759496163455,604.9758229153028,23221.3,41082066.81993,14048325.076663122
60,Tibet,cotton,2570.88798759575,5332.965774647887,1970.2086903879415,1.047531504818384,370.67913269088217,210.27987398072645,20.059414381022982,14.959107488566506,1754.111241261654,404.7,1040438.36858,709888.8193385913
61,Tibet,sugbeet,50595.11709319148,249.6568617021277,3517.3908191489363,0.18534574468085105,235.65,151.35,22.05,7.0006084462154226,822.0286659734111,188,9511882.013519999,154541.38920300128
62,Tibet,sugcane,19759.51005913232,0,4386.221029645698,0.42782357194504694,466.65,175.95000000000002,181.79999999999998,25.754870020550417,466.9623079118846,691.5,13663701.20589,322904.4359210682
